comment,cleaned_comment,case_folding,slang_check,tokenize,stopword_removal,stemming
​@@dedewildan7982lah yg bikin kebujakan trus yg ngatur siapa say kan pemerintah masa iya nyalahin tetangga hadeuh,dedewildanlah yg bikin kebujakan trus yg ngatur siapa say kan pemerintah masa iya nyalahin tetangga hadeuh,dedewildanlah yg bikin kebujakan trus yg ngatur siapa say kan pemerintah masa iya nyalahin tetangga hadeuh,dedewildanlah yang bikin kebujakan trus yang ngatur siapa say kan pemerintah masa iya nyalahin tetangga hadeuh,"['dedewildanlah', 'yang', 'bikin', 'kebujakan', 'trus', 'yang', 'ngatur', 'siapa', 'say', 'kan', 'pemerintah', 'masa', 'iya', 'nyalahin', 'tetangga', 'hadeuh']","['dedewildanlah', 'kebujakan', 'ngatur', 'say', 'nyalahin', 'hadeuh']",dedewildanlah kebujakan ngatur say nyalahin hadeuh
Lohh lohhh katanya jogetin ajaa.piye too😅😂😂😂😂,Lohh lohhh katanya jogetin ajaapiye too,lohh lohhh katanya jogetin ajaapiye too,lohh lohhh katanya jogetin ajaapiye too,"['lohh', 'lohhh', 'katanya', 'jogetin', 'ajaapiye', 'too']","['lohh', 'lohhh', 'jogetin', 'ajaapiye', 'too']",lohh lohhh jogetin ajaapiye too
Fakta Hahahaha''',Fakta Hahahaha,fakta hahahaha,fakta hahahaha,"['fakta', 'hahahaha']","['fakta', 'hahahaha']",fakta hahahaha
​@@jufriyadi8706Fakta kondisi ekonomi. mau media barat. timur. selatan. utara yg disampaikan itu Fakta.,jufriyadiFakta kondisi ekonomi mau media barat timur selatan utara yg disampaikan itu Fakta,jufriyadifakta kondisi ekonomi mau media barat timur selatan utara yg disampaikan itu fakta,jufriyadifakta kondisi ekonomi ingin media barat timur selatan utara yang disampaikan itu fakta,"['jufriyadifakta', 'kondisi', 'ekonomi', 'ingin', 'media', 'barat', 'timur', 'selatan', 'utara', 'yang', 'disampaikan', 'itu', 'fakta']","['jufriyadifakta', 'barat', 'timur', 'selatan', 'utara', 'fakta']",jufriyadifakta barat timur selatan utara fakta
Tenang mobil esemka sudah dapat pesanan 6000 unit.sama ratusan investor antri inves di ikn. jadi tenang saja ekonomi akan meroket.apalagi sudah ad dana 1000T di kantong saya,Tenang mobil esemka sudah dapat pesanan  unitsama ratusan investor antri inves di ikn jadi tenang saja ekonomi akan meroketapalagi sudah ad dana T di kantong saya,tenang mobil esemka sudah dapat pesanan unitsama ratusan investor antri inves di ikn jadi tenang saja ekonomi akan meroketapalagi sudah ad dana t di kantong saya,tenang mobil esemka sudah dapat pesanan unitsama ratusan investor antri inves di ibu kota nusantara jadi tenang saja ekonomi akan meroketapalagi sudah ad dana t di kantong saya,"['tenang', 'mobil', 'esemka', 'sudah', 'dapat', 'pesanan', 'unitsama', 'ratusan', 'investor', 'antri', 'inves', 'di', 'ibu', 'kota', 'nusantara', 'jadi', 'tenang', 'saja', 'ekonomi', 'akan', 'meroketapalagi', 'sudah', 'ad', 'dana', 't', 'di', 'kantong', 'saya']","['tenang', 'mobil', 'esemka', 'pesanan', 'unitsama', 'ratusan', 'investor', 'antri', 'inves', 'kota', 'nusantara', 'tenang', 'meroketapalagi', 'dana', 't', 'kantong']",tenang mobil esemka pesan unitsama ratus investor antri inves kota nusantara tenang meroketapalagi dana t kantong
kalau tak suka penguasa minggat dari indonesia,kalau tak suka penguasa minggat dari indonesia,kalau tak suka penguasa minggat dari indonesia,kalau tak suka penguasa minggat dari indonesia,"['kalau', 'tak', 'suka', 'penguasa', 'minggat', 'dari', 'indonesia']","['penguasa', 'minggat', 'indonesia']",kuasa minggat indonesia
​@@nasrongl6588tolol kok dipelihara,nasrongltolol kok dipelihara,nasrongltolol kok dipelihara,nasrongltolol kok dipelihara,"['nasrongltolol', 'kok', 'dipelihara']","['nasrongltolol', 'dipelihara']",nasrongltolol pelihara
@@nasrongl6588 la lu siapa ngatur²?.,nasrongl la lu siapa ngatur,nasrongl la lu siapa ngatur,nasrongl la lu siapa ngatur,"['nasrongl', 'la', 'lu', 'siapa', 'ngatur']","['nasrongl', 'ngatur']",nasrongl ngatur
@@EwogGondrong saya orang NU,EwogGondrong saya orang NU,ewoggondrong saya orang nu,ewoggondrong saya orang nu,"['ewoggondrong', 'saya', 'orang', 'nu']","['ewoggondrong', 'nu']",ewoggondrong nu
@@nasrongl6588 la trus napa lu ngatur²?.lu menteri?lu pejabat?,nasrongl la trus napa lu ngaturlu menterilu pejabat,nasrongl la trus napa lu ngaturlu menterilu pejabat,nasrongl la trus napa lu ngaturlu menterilu pejabat,"['nasrongl', 'la', 'trus', 'napa', 'lu', 'ngaturlu', 'menterilu', 'pejabat']","['nasrongl', 'napa', 'ngaturlu', 'menterilu', 'pejabat']",nasrongl napa ngaturlu ilu jabat
@@nasrongl6588 saya juga orang nu?napa lu?,nasrongl saya juga orang nunapa lu,nasrongl saya juga orang nunapa lu,nasrongl saya juga orang nunapa lu,"['nasrongl', 'saya', 'juga', 'orang', 'nunapa', 'lu']","['nasrongl', 'nunapa']",nasrongl nunapa
​@@dedewildan7982 Kalau gak boleh disalahkan. terus pemerintah fungsinya apa? Cuma bisa jadi ondel2 gitu?,dedewildan Kalau gak boleh disalahkan terus pemerintah fungsinya apa Cuma bisa jadi ondel gitu,dedewildan kalau gak boleh disalahkan terus pemerintah fungsinya apa cuma bisa jadi ondel gitu,dedewildan kalau tidak boleh disalahkan terus pemerintah fungsinya apa cuma bisa jadi ondel gitu,"['dedewildan', 'kalau', 'tidak', 'boleh', 'disalahkan', 'terus', 'pemerintah', 'fungsinya', 'apa', 'cuma', 'bisa', 'jadi', 'ondel', 'gitu']","['dedewildan', 'disalahkan', 'fungsinya', 'ondel']",dedewildan salah fungsi ondel
Mampus.. Makan tuh ikn. 😂😂😂😂😂,Mampus Makan tuh ikn ,mampus makan tuh ikn,mampus makan tuh ibu kota nusantara,"['mampus', 'makan', 'tuh', 'ibu', 'kota', 'nusantara']","['mampus', 'kota', 'nusantara']",mampus kota nusantara
Pingin ekonomi meroket dirikanlah pabrik rokok sebanyak mungkin😊😊😊Rokok itu kesukaan masyarakat indonesia mereka tidak bisa lepas dari kecanduan rokok.Mau semahal apapun rokoknya masyarakat tetep beli pabrik rokoknya juga tidak kehabisan ide dengan produksi rokok berharga murah tapi citarasa mirip dengan yg rokok harganya muahal😅,Pingin ekonomi meroket dirikanlah pabrik rokok sebanyak mungkinRokok itu kesukaan masyarakat indonesia mereka tidak bisa lepas dari kecanduan rokokMau semahal apapun rokoknya masyarakat tetep beli pabrik rokoknya juga tidak kehabisan ide dengan produksi rokok berharga murah tapi citarasa mirip dengan yg rokok harganya muahal,pingin ekonomi meroket dirikanlah pabrik rokok sebanyak mungkinrokok itu kesukaan masyarakat indonesia mereka tidak bisa lepas dari kecanduan rokokmau semahal apapun rokoknya masyarakat tetep beli pabrik rokoknya juga tidak kehabisan ide dengan produksi rokok berharga murah tapi citarasa mirip dengan yg rokok harganya muahal,pingin ekonomi meroket dirikanlah pabrik rokok sebanyak mungkinrokok itu kesukaan masyarakat indonesia mereka tidak bisa lepas dari kecanduan rokokmau semahal apapun rokoknya masyarakat tetep beli pabrik rokoknya juga tidak kehabisan ide dengan produksi rokok berharga murah tapi citarasa mirip dengan yang rokok harganya muahal,"['pingin', 'ekonomi', 'meroket', 'dirikanlah', 'pabrik', 'rokok', 'sebanyak', 'mungkinrokok', 'itu', 'kesukaan', 'masyarakat', 'indonesia', 'mereka', 'tidak', 'bisa', 'lepas', 'dari', 'kecanduan', 'rokokmau', 'semahal', 'apapun', 'rokoknya', 'masyarakat', 'tetep', 'beli', 'pabrik', 'rokoknya', 'juga', 'tidak', 'kehabisan', 'ide', 'dengan', 'produksi', 'rokok', 'berharga', 'murah', 'tapi', 'citarasa', 'mirip', 'dengan', 'yang', 'rokok', 'harganya', 'muahal']","['pingin', 'meroket', 'dirikanlah', 'pabrik', 'rokok', 'mungkinrokok', 'kesukaan', 'indonesia', 'lepas', 'kecanduan', 'rokokmau', 'semahal', 'rokoknya', 'beli', 'pabrik', 'rokoknya', 'kehabisan', 'ide', 'produksi', 'rokok', 'berharga', 'murah', 'citarasa', 'rokok', 'harganya', 'muahal']",pingin roket diri pabrik rokok mungkinrokok suka indonesia lepas candu rokokmau mahal rokok beli pabrik rokok habis ide produksi rokok harga murah citarasa rokok harga muahal
Abis itu rakyatnya pada mati karna sakit akibat asap rokok,Abis itu rakyatnya pada mati karna sakit akibat asap rokok,abis itu rakyatnya pada mati karna sakit akibat asap rokok,habis itu rakyatnya pada mati karna sakit akibat asap rokok,"['habis', 'itu', 'rakyatnya', 'pada', 'mati', 'karna', 'sakit', 'akibat', 'asap', 'rokok']","['rakyatnya', 'mati', 'sakit', 'asap', 'rokok']",rakyat mati sakit asap rokok
Ah ga jg.gua ga beli,Ah ga jggua ga beli,ah ga jggua ga beli,ah ga jggua ga beli,"['ah', 'ga', 'jggua', 'ga', 'beli']","['ah', 'jggua', 'beli']",ah jggua beli
Naikkan pajak rokok dan tembakau.,Naikkan pajak rokok dan tembakau,naikkan pajak rokok dan tembakau,naikkan pajak rokok dan tembakau,"['naikkan', 'pajak', 'rokok', 'dan', 'tembakau']","['naikkan', 'pajak', 'rokok', 'tembakau']",naik pajak rokok tembakau
Pajak rokok cukai rokok gak bikin ekonomi meroket. Karena pajak ngalirnya ke pejabat2 juga. Ujung2 ya dikorupsi. Lowongan pekerjaan pabrik rokok cuman diisi ibu2 saja. Anak muda tetap pengangguran Konsumen rokok jelas makin melarat karena kecanduan rokok yg semakin mahal.,Pajak rokok cukai rokok gak bikin ekonomi meroket Karena pajak ngalirnya ke pejabat juga Ujung ya dikorupsi Lowongan pekerjaan pabrik rokok cuman diisi ibu saja Anak muda tetap pengangguran Konsumen rokok jelas makin melarat karena kecanduan rokok yg semakin mahal,pajak rokok cukai rokok gak bikin ekonomi meroket karena pajak ngalirnya ke pejabat juga ujung ya dikorupsi lowongan pekerjaan pabrik rokok cuman diisi ibu saja anak muda tetap pengangguran konsumen rokok jelas makin melarat karena kecanduan rokok yg semakin mahal,pajak rokok cukai rokok tidak bikin ekonomi meroket karena pajak ngalirnya ke pejabat juga ujung ya dikorupsi lowongan pekerjaan pabrik rokok cuman diisi ibu saja anak muda tetap pengangguran konsumen rokok jelas makin melarat karena kecanduan rokok yang semakin mahal,"['pajak', 'rokok', 'cukai', 'rokok', 'tidak', 'bikin', 'ekonomi', 'meroket', 'karena', 'pajak', 'ngalirnya', 'ke', 'pejabat', 'juga', 'ujung', 'ya', 'dikorupsi', 'lowongan', 'pekerjaan', 'pabrik', 'rokok', 'cuman', 'diisi', 'ibu', 'saja', 'anak', 'muda', 'tetap', 'pengangguran', 'konsumen', 'rokok', 'jelas', 'makin', 'melarat', 'karena', 'kecanduan', 'rokok', 'yang', 'semakin', 'mahal']","['pajak', 'rokok', 'cukai', 'rokok', 'meroket', 'pajak', 'ngalirnya', 'pejabat', 'ujung', 'dikorupsi', 'lowongan', 'pekerjaan', 'pabrik', 'rokok', 'diisi', 'muda', 'pengangguran', 'konsumen', 'rokok', 'melarat', 'kecanduan', 'rokok', 'mahal']",pajak rokok cukai rokok roket pajak ngalirnya jabat ujung korupsi lowong kerja pabrik rokok isi muda anggur konsumen rokok melarat candu rokok mahal
Rokok bikin ekonomi meroket apaan. Rokok itu teknologinya mudah. Pengusaha bisa sewaktu2 gantiin tenaga manusia dgn mesin untuk produksi rokok = minim penyerapan tenaga kerja. Dan rokok bikin penyakit banyak. terutama bagi perokok pasif. Bisa terkuras tabungannya ngurusin kesehatan paru doang ketika tua nanti. padahal kebutuhan anaknya banyak.,Rokok bikin ekonomi meroket apaan Rokok itu teknologinya mudah Pengusaha bisa sewaktu gantiin tenaga manusia dgn mesin untuk produksi rokok  minim penyerapan tenaga kerja Dan rokok bikin penyakit banyak terutama bagi perokok pasif Bisa terkuras tabungannya ngurusin kesehatan paru doang ketika tua nanti padahal kebutuhan anaknya banyak,rokok bikin ekonomi meroket apaan rokok itu teknologinya mudah pengusaha bisa sewaktu gantiin tenaga manusia dgn mesin untuk produksi rokok minim penyerapan tenaga kerja dan rokok bikin penyakit banyak terutama bagi perokok pasif bisa terkuras tabungannya ngurusin kesehatan paru doang ketika tua nanti padahal kebutuhan anaknya banyak,rokok bikin ekonomi meroket apaan rokok itu teknologinya mudah pengusaha bisa sewaktu gantiin tenaga manusia dgn mesin untuk produksi rokok minim penyerapan tenaga kerja dan rokok bikin penyakit banyak terutama bagi perokok pasif bisa terkuras tabungannya ngurusin kesehatan paru doang ketika tua nanti padahal kebutuhan anaknya banyak,"['rokok', 'bikin', 'ekonomi', 'meroket', 'apaan', 'rokok', 'itu', 'teknologinya', 'mudah', 'pengusaha', 'bisa', 'sewaktu', 'gantiin', 'tenaga', 'manusia', 'dgn', 'mesin', 'untuk', 'produksi', 'rokok', 'minim', 'penyerapan', 'tenaga', 'kerja', 'dan', 'rokok', 'bikin', 'penyakit', 'banyak', 'terutama', 'bagi', 'perokok', 'pasif', 'bisa', 'terkuras', 'tabungannya', 'ngurusin', 'kesehatan', 'paru', 'doang', 'ketika', 'tua', 'nanti', 'padahal', 'kebutuhan', 'anaknya', 'banyak']","['rokok', 'meroket', 'rokok', 'teknologinya', 'mudah', 'pengusaha', 'gantiin', 'tenaga', 'mesin', 'produksi', 'rokok', 'minim', 'penyerapan', 'tenaga', 'kerja', 'rokok', 'penyakit', 'perokok', 'pasif', 'terkuras', 'tabungannya', 'ngurusin', 'kesehatan', 'paru', 'doang', 'kebutuhan', 'anaknya']",rokok roket rokok teknologi mudah usaha gantiin tenaga mesin produksi rokok minim serap tenaga kerja rokok sakit okok pasif kuras tabung ngurusin sehat paru doang butuh anak
@@freemasonry666 Klo yg bagian linting rokok kretek memang yg bekerja ibu.Tapi yg anak mudanya bagian supervisor. sales dan pengiriman kaka.Lagian bekerja di perusahaan rokok gajinya guede penampilan salesnya aja kayak pegawe bank loh😊😊,freemasonry Klo yg bagian linting rokok kretek memang yg bekerja ibuTapi yg anak mudanya bagian supervisor sales dan pengiriman kakaLagian bekerja di perusahaan rokok gajinya guede penampilan salesnya aja kayak pegawe bank loh,freemasonry klo yg bagian linting rokok kretek memang yg bekerja ibutapi yg anak mudanya bagian supervisor sales dan pengiriman kakalagian bekerja di perusahaan rokok gajinya guede penampilan salesnya aja kayak pegawe bank loh,freemasonry klo yang bagian linting rokok kretek memang yang bekerja ibutapi yang anak mudanya bagian supervisor sales dan pengiriman kakalagian bekerja di perusahaan rokok gajinya guede penampilan salesnya aja kayak pegawe bank loh,"['freemasonry', 'klo', 'yang', 'bagian', 'linting', 'rokok', 'kretek', 'memang', 'yang', 'bekerja', 'ibutapi', 'yang', 'anak', 'mudanya', 'bagian', 'supervisor', 'sales', 'dan', 'pengiriman', 'kakalagian', 'bekerja', 'di', 'perusahaan', 'rokok', 'gajinya', 'guede', 'penampilan', 'salesnya', 'aja', 'kayak', 'pegawe', 'bank', 'loh']","['freemasonry', 'linting', 'rokok', 'kretek', 'ibutapi', 'mudanya', 'supervisor', 'sales', 'pengiriman', 'kakalagian', 'rokok', 'gajinya', 'guede', 'penampilan', 'salesnya', 'pegawe', 'bank']",freemasonry linting rokok kretek ibutapi muda supervisor sales kirim kakalagian rokok gaji guede tampil salesnya pegawe bank
@@stephaniesetiawan_92 supervisor sales berapa slot lowongan nya? Satu pabrik palingan cmn 5-10 orang. Klo dibanding dg ibu2 jauh jumlahnya. Inget 7 juta gen z nganggur.,stephaniesetiawan supervisor sales berapa slot lowongan nya Satu pabrik palingan cmn  orang Klo dibanding dg ibu jauh jumlahnya Inget  juta gen z nganggur,stephaniesetiawan supervisor sales berapa slot lowongan nya satu pabrik palingan cmn orang klo dibanding dg ibu jauh jumlahnya inget juta gen z nganggur,stephaniesetiawan supervisor sales berapa slot lowongan nya satu pabrik palingan cmn orang klo dibanding dg ibu jauh jumlahnya inget juta gen z nganggur,"['stephaniesetiawan', 'supervisor', 'sales', 'berapa', 'slot', 'lowongan', 'nya', 'satu', 'pabrik', 'palingan', 'cmn', 'orang', 'klo', 'dibanding', 'dg', 'ibu', 'jauh', 'jumlahnya', 'inget', 'juta', 'gen', 'z', 'nganggur']","['stephaniesetiawan', 'supervisor', 'sales', 'slot', 'lowongan', 'pabrik', 'palingan', 'cmn', 'dibanding', 'inget', 'juta', 'gen', 'z', 'nganggur']",stephaniesetiawan supervisor sales slot lowong pabrik paling cmn banding inget juta gen z nganggur
Yg di gaji negara/rkyt makmur2 koh gaji brpa tunjngn brpa tpi asetnya hrtany gya hdupny brpaaa😂😂😂😂,Yg di gaji negararkyt makmur koh gaji brpa tunjngn brpa tpi asetnya hrtany gya hdupny brpaaa,yg di gaji negararkyt makmur koh gaji brpa tunjngn brpa tpi asetnya hrtany gya hdupny brpaaa,yang di gaji negararkyt makmur koh gaji brpa tunjngn brpa tpi asetnya hrtany gya hdupny brpaaa,"['yang', 'di', 'gaji', 'negararkyt', 'makmur', 'koh', 'gaji', 'brpa', 'tunjngn', 'brpa', 'tpi', 'asetnya', 'hrtany', 'gya', 'hdupny', 'brpaaa']","['negararkyt', 'makmur', 'koh', 'brpa', 'tunjngn', 'brpa', 'asetnya', 'hrtany', 'gya', 'hdupny', 'brpaaa']",negararkyt makmur koh brpa tunjngn brpa aset hrtany gya hdupny brpaaa
Ekonomi meroket tajam,Ekonomi meroket tajam,ekonomi meroket tajam,ekonomi meroket tajam,"['ekonomi', 'meroket', 'tajam']","['meroket', 'tajam']",roket tajam
Kebawah nyungsep beneren terjun bebas dengan kecepatan falcon,Kebawah nyungsep beneren terjun bebas dengan kecepatan falcon,kebawah nyungsep beneren terjun bebas dengan kecepatan falcon,kebawah nyungsep beneren terjun bebas dengan kecepatan falcon,"['kebawah', 'nyungsep', 'beneren', 'terjun', 'bebas', 'dengan', 'kecepatan', 'falcon']","['kebawah', 'nyungsep', 'beneren', 'terjun', 'kecepatan', 'falcon']",bawah nyungsep beneren terjun cepat falcon
Kedalam sumur,Kedalam sumur,kedalam sumur,kedalam sumur,"['kedalam', 'sumur']","['kedalam', 'sumur']",dalam sumur
Benar Meroket kebawah,Benar Meroket kebawah,benar meroket kebawah,benar meroket kebawah,"['benar', 'meroket', 'kebawah']","['meroket', 'kebawah']",roket bawah
Meroket tajam ke bawah alias nyusruk😂,Meroket tajam ke bawah alias nyusruk,meroket tajam ke bawah alias nyusruk,meroket tajam ke bawah alias nyusruk,"['meroket', 'tajam', 'ke', 'bawah', 'alias', 'nyusruk']","['meroket', 'tajam', 'nyusruk']",roket tajam nyusruk
Meroket tajam ke dasar bumi😂,Meroket tajam ke dasar bumi,meroket tajam ke dasar bumi,meroket tajam ke dasar bumi,"['meroket', 'tajam', 'ke', 'dasar', 'bumi']","['meroket', 'tajam', 'bumi']",roket tajam bumi
Semua negara yg memegang acuan dolar balal jadi kacung dan budak!!!,Semua negara yg memegang acuan dolar balal jadi kacung dan budak,semua negara yg memegang acuan dolar balal jadi kacung dan budak,semua negara yang memegang acuan dolar balal jadi kacung dan budak,"['semua', 'negara', 'yang', 'memegang', 'acuan', 'dolar', 'balal', 'jadi', 'kacung', 'dan', 'budak']","['memegang', 'acuan', 'dolar', 'balal', 'kacung', 'budak']",pegang acu dolar balal kacung budak
Mereka yg perang mata uang mereka yg naik. apa kita juga harus perang wahai jokodok,Mereka yg perang mata uang mereka yg naik apa kita juga harus perang wahai jokodok,mereka yg perang mata uang mereka yg naik apa kita juga harus perang wahai jokodok,mereka yang perang mata uang mereka yang naik apa kita juga harus perang wahai jokodok,"['mereka', 'yang', 'perang', 'mata', 'uang', 'mereka', 'yang', 'naik', 'apa', 'kita', 'juga', 'harus', 'perang', 'wahai', 'jokodok']","['perang', 'perang', 'jokodok']",perang perang jokodok
Stabil untuk mu,Stabil untuk mu,stabil untuk mu,stabil untuk mu,"['stabil', 'untuk', 'mu']",['stabil'],stabil
Syukurin...,Syukurin,syukurin,syukurin,['syukurin'],['syukurin'],syukurin
Stabil endas yg jelas melemah jangan di banding²kan negara lain dari thn 2000 an sampai sekarang rupiah ga pernah menguat.,Stabil endas yg jelas melemah jangan di bandingkan negara lain dari thn  an sampai sekarang rupiah ga pernah menguat,stabil endas yg jelas melemah jangan di bandingkan negara lain dari thn an sampai sekarang rupiah ga pernah menguat,stabil endas yang jelas melemah jangan di bandingkan negara lain dari tahun an sampai sekarang rupiah ga pernah menguat,"['stabil', 'endas', 'yang', 'jelas', 'melemah', 'jangan', 'di', 'bandingkan', 'negara', 'lain', 'dari', 'tahun', 'an', 'sampai', 'sekarang', 'rupiah', 'ga', 'pernah', 'menguat']","['stabil', 'endas', 'melemah', 'an', 'rupiah', 'menguat']",stabil endas lemah an rupiah kuat
uang yang kita belanjakan banyak mengalir keluar negeri tanpa kita sadari. makanya mata uang Dollar menguat. seharusnya rantai dagang dalam negeri kita harus menguat dari pada produk asing.,uang yang kita belanjakan banyak mengalir keluar negeri tanpa kita sadari makanya mata uang Dollar menguat seharusnya rantai dagang dalam negeri kita harus menguat dari pada produk asing,uang yang kita belanjakan banyak mengalir keluar negeri tanpa kita sadari makanya mata uang dollar menguat seharusnya rantai dagang dalam negeri kita harus menguat dari pada produk asing,uang yang kita belanjakan banyak mengalir keluar negeri tanpa kita sadari makanya mata uang dollar menguat seharusnya rantai dagang dalam negeri kita harus menguat dari pada produk asing,"['uang', 'yang', 'kita', 'belanjakan', 'banyak', 'mengalir', 'keluar', 'negeri', 'tanpa', 'kita', 'sadari', 'makanya', 'mata', 'uang', 'dollar', 'menguat', 'seharusnya', 'rantai', 'dagang', 'dalam', 'negeri', 'kita', 'harus', 'menguat', 'dari', 'pada', 'produk', 'asing']","['belanjakan', 'mengalir', 'sadari', 'dollar', 'menguat', 'rantai', 'dagang', 'menguat', 'asing']",belanja alir sadar dollar kuat rantai dagang kuat asing
Ayo dong sampe 20 ribu ..lumayan udah nimbun euro 3 tahun,Ayo dong sampe  ribu lumayan udah nimbun euro  tahun,ayo dong sampe ribu lumayan udah nimbun euro tahun,ayo dong sampai ribu lumayan udah nimbun euro tahun,"['ayo', 'dong', 'sampai', 'ribu', 'lumayan', 'udah', 'nimbun', 'euro', 'tahun']","['ribu', 'nimbun', 'euro']",ribu nimbun euro
Ko dibandingkan dengan negara lain .ya udah beda pak diluar negeri gaji perbukannya bisa sampe 20 30 40 juta perbulan. kalo di Indo sebulan 2. 3 juta aja udah bersyukur . kalo suruh bandingin dg negara lain ya jauh dilihat dari pendapatan perbulan sudah jauh. dinegara kita inflasi tinggi pendapatan tak nentu.,Ko dibandingkan dengan negara lain ya udah beda pak diluar negeri gaji perbukannya bisa sampe    juta perbulan kalo di Indo sebulan   juta aja udah bersyukur  kalo suruh bandingin dg negara lain ya jauh dilihat dari pendapatan perbulan sudah jauh dinegara kita inflasi tinggi pendapatan tak nentu,ko dibandingkan dengan negara lain ya udah beda pak diluar negeri gaji perbukannya bisa sampe juta perbulan kalo di indo sebulan juta aja udah bersyukur kalo suruh bandingin dg negara lain ya jauh dilihat dari pendapatan perbulan sudah jauh dinegara kita inflasi tinggi pendapatan tak nentu,ko dibandingkan dengan negara lain ya udah beda pakai diluar negeri gaji perbukannya bisa sampai juta perbulan jika di indo sebulan juta aja udah bersyukur jika suruh bandingin dg negara lain ya jauh dilihat dari pendapatan perbulan sudah jauh dinegara kita inflasi tinggi pendapatan tak nentu,"['ko', 'dibandingkan', 'dengan', 'negara', 'lain', 'ya', 'udah', 'beda', 'pakai', 'diluar', 'negeri', 'gaji', 'perbukannya', 'bisa', 'sampai', 'juta', 'perbulan', 'jika', 'di', 'indo', 'sebulan', 'juta', 'aja', 'udah', 'bersyukur', 'jika', 'suruh', 'bandingin', 'dg', 'negara', 'lain', 'ya', 'jauh', 'dilihat', 'dari', 'pendapatan', 'perbulan', 'sudah', 'jauh', 'dinegara', 'kita', 'inflasi', 'tinggi', 'pendapatan', 'tak', 'nentu']","['dibandingkan', 'pakai', 'diluar', 'perbukannya', 'juta', 'perbulan', 'indo', 'sebulan', 'juta', 'bersyukur', 'bandingin', 'pendapatan', 'perbulan', 'dinegara', 'inflasi', 'pendapatan', 'nentu']",banding pakai luar buk juta bulan indo bulan juta syukur bandingin dapat bulan negara inflasi dapat nentu
Mukidi pemimpin gagal,Mukidi pemimpin gagal,mukidi pemimpin gagal,mukidi pemimpin gagal,"['mukidi', 'pemimpin', 'gagal']","['mukidi', 'pemimpin', 'gagal']",mukidi pimpin gagal
Gimana ni pak gubernur BI ini kok stabil2 aja kok tenang2 aja nggak memikirkan damapak nya,Gimana ni pak gubernur BI ini kok stabil aja kok tenang aja nggak memikirkan damapak nya,gimana ni pak gubernur bi ini kok stabil aja kok tenang aja nggak memikirkan damapak nya,gimana ni pakai gubernur bank indonesia ini kok stabil aja kok tenang aja tidak memikirkan damapak nya,"['gimana', 'ni', 'pakai', 'gubernur', 'bank', 'indonesia', 'ini', 'kok', 'stabil', 'aja', 'kok', 'tenang', 'aja', 'tidak', 'memikirkan', 'damapak', 'nya']","['pakai', 'gubernur', 'bank', 'indonesia', 'stabil', 'tenang', 'memikirkan', 'damapak']",pakai gubernur bank indonesia stabil tenang pikir damapak
Janjimu tinggal Janji palsu,Janjimu tinggal Janji palsu,janjimu tinggal janji palsu,janjimu tinggal janji palsu,"['janjimu', 'tinggal', 'janji', 'palsu']","['janjimu', 'palsu']",janji palsu
kita beli produk cina aja,kita beli produk cina aja,kita beli produk cina aja,kita beli produk cina aja,"['kita', 'beli', 'produk', 'cina', 'aja']","['beli', 'cina']",beli cina
YA ALLAH....SEMOGA EKONOMI INDONESIA TIDAK SAMA DENGAN EKONOMI NEGARA ZIMBABWE😭,YA ALLAH SEMOGA EKONOMI INDONESIA TIDAK SAMA DENGAN EKONOMI NEGARA ZIMBABWE,ya allah semoga ekonomi indonesia tidak sama dengan ekonomi negara zimbabwe,ya allah semoga ekonomi indonesia tidak sama dengan ekonomi negara zimbabwe,"['ya', 'allah', 'semoga', 'ekonomi', 'indonesia', 'tidak', 'sama', 'dengan', 'ekonomi', 'negara', 'zimbabwe']","['allah', 'indonesia', 'zimbabwe']",allah indonesia zimbabwe
Stabil buat kantong siapa ini,Stabil buat kantong siapa ini,stabil buat kantong siapa ini,stabil buat kantong siapa ini,"['stabil', 'buat', 'kantong', 'siapa', 'ini']","['stabil', 'kantong']",stabil kantong
Daripada sok urusin negara orang urus negara sendri dulu aja,Daripada sok urusin negara orang urus negara sendri dulu aja,daripada sok urusin negara orang urus negara sendri dulu aja,daripada sok urusin negara orang urus negara sendri dulu aja,"['daripada', 'sok', 'urusin', 'negara', 'orang', 'urus', 'negara', 'sendri', 'dulu', 'aja']","['urusin', 'urus', 'sendri']",urusin urus sendri
Menteri Keuangan Meragukan,Menteri Keuangan Meragukan,menteri keuangan meragukan,menteri keuangan meragukan,"['menteri', 'keuangan', 'meragukan']","['menteri', 'keuangan', 'meragukan']",menteri uang ragu
Yakin ? Rupiah stabil ? Jangan banding2 kan,Yakin  Rupiah stabil  Jangan banding kan,yakin rupiah stabil jangan banding kan,yakin rupiah stabil jangan banding kan,"['yakin', 'rupiah', 'stabil', 'jangan', 'banding', 'kan']","['rupiah', 'stabil', 'banding']",rupiah stabil banding
Yuuks borong dollar bro,Yuuks borong dollar bro,yuuks borong dollar bro,yuuks borong dollar bro,"['yuuks', 'borong', 'dollar', 'bro']","['yuuks', 'borong', 'dollar']",yuuks borong dollar
